NAME	nGENE	nUMI	biosample_id	donor_id	species	species__ontology_label	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	sex	ventricle	cell_type	cell_type__ontology_label	cell_type_subset__ontology_label
E.3V.V1.Rep1_66	2733	18429	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_70	2361	15745	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_71	2530	12434	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_72	2732	15096	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_73	2875	15155	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_74	2351	14780	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_76	2663	17449	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_77	2641	18786	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_78	2971	17200	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_82	2632	13994	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_84	2395	13752	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_85	2379	13444	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_86	2151	11762	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_90	2444	15663	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_91	3767	20633	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_96	1981	10379	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_100	2766	17657	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_102	2768	17250	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_104	2910	19709	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_105	2621	15509	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_109	2805	15812	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_110	1628	10738	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_111	2647	16242	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_112	1772	10429	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_115	2570	13629	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_118	2460	13974	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_119	2486	12888	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_120	2136	10946	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_121	2038	11719	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_124	3453	20454	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_125	2550	16380	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_128	2649	15268	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_130	3209	19854	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_136	2776	17679	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_145	1638	10351	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_151	2451	13651	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_152	2248	12642	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_155	2684	15608	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_156	1983	10195	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_157	2064	11092	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_158	2548	14603	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_163	2428	14359	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_166	2327	13264	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_169	1804	10176	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_171	2217	14531	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_172	2491	15186	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_175	2686	14862	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_178	2779	18103	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_179	2480	14209	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_184	2461	15308	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_185	2366	12103	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_186	2222	12656	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_191	2951	19575	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_193	2293	12836	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_194	1879	10362	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_195	2310	12295	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_198	3225	17593	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_201	2083	12228	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_202	2397	13568	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_203	2758	16709	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_206	2261	12027	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_207	2478	14229	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_208	2152	14001	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_217	2573	14390	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_218	2404	11719	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_219	2588	14319	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_223	2292	12949	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_226	2024	10967	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_232	2287	12038	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_234	2357	14833	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_239	2486	12971	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_244	3140	21088	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_247	2437	14062	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_248	2502	14731	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_250	2406	13681	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_251	2549	10509	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_252	2517	14670	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
