Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
0610039K10RIK	current symbol	MGI:1915636	0610039K10Rik	RIKEN cDNA 0610039K10 gene	lncRNA gene
0610040B10RIK	current symbol	MGI:1914922	0610040B10Rik	RIKEN cDNA 0610040B10 gene	lncRNA gene
0610040F04RIK	current symbol	MGI:1922644	0610040F04Rik	RIKEN cDNA 0610040F04 gene	lncRNA gene
0610040J01RIK	current symbol	MGI:1923511	0610040J01Rik	RIKEN cDNA 0610040J01 gene	protein coding gene
0610043K17RIK	current symbol	MGI:1915650	0610043K17Rik	RIKEN cDNA 0610043K17 gene	lncRNA gene
0910001L09RIK	old symbol	MGI:1913346	Lamtor4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4	protein coding gene
100043387	old symbol	MGI:3709632	Gm14305	predicted gene 14305	protein coding gene
100043387	Entrez Gene	MGI:3709632	Gm14305	predicted gene 14305	protein coding gene
1100001G20RIK	old symbol	MGI:1913357	Wfdc21	WAP four-disulfide core domain 21	protein coding gene
1110001A16RIK	old symbol	MGI:1915804	Cebpzos	CCAAT/enhancer binding protein (C/EBP), zeta, opposite strand	protein coding gene
1110001J03RIK	old symbol	MGI:1913367	Fmc1	formation of mitochondrial complex V assembly factor 1	protein coding gene
1110002B05RIK	old symbol	MGI:1913399	Sptssa	serine palmitoyltransferase, small subunit A	protein coding gene
1110002L01RIK	current symbol	MGI:1915821	1110002L01Rik	RIKEN cDNA 1110002L01 gene	lncRNA gene
1110002N22RIK	old symbol	MGI:1915800	Tefm	transcription elongation factor, mitochondrial	protein coding gene
1110003E01RIK	old symbol	MGI:1915802	Smim14	small integral membrane protein 14	protein coding gene
1110004E09RIK	old symbol	MGI:1915251	Cfap298	cilia and flagella associate protien 298	protein coding gene
1110004F10RIK	current symbol	MGI:1929274	1110004F10Rik	RIKEN cDNA 1110004F10 gene	protein coding gene
1110005A03RIK	old symbol	MGI:1921569	Mettl23	methyltransferase like 23	protein coding gene
1110006O24RIK	current symbol	MGI:1913373	1110006O24Rik	RIKEN cDNA 1110006O24 gene	lncRNA gene
1110007C09RIK	old symbol	MGI:1915730	Card19	caspase recruitment domain family, member 19	protein coding gene
1110008F13RIK	old symbol	MGI:1914638	Rab5if	RAB5 interacting factor	protein coding gene
1110008J03RIK	old symbol	MGI:1922021	Rita1	RBPJ interacting and tubulin associated 1	protein coding gene
1110008L16RIK	old symbol	MGI:1913382	Prorp	protein only RNase P catalytic subunit	protein coding gene
1110008P14RIK	current symbol	MGI:1920987	1110008P14Rik	RIKEN cDNA 1110008P14 gene	protein coding gene
1110012J17RIK	old symbol	MGI:1915867	Mtcl1	microtubule crosslinking factor 1	protein coding gene
1110012L19RIK	old symbol	MGI:1915868	Eola1	endothelium and lymphocyte associated ASCH domain 1	protein coding gene
1110014N23RIK	old symbol	MGI:1915755	Vps51	VPS51 GARP complex subunit	protein coding gene
1110015O18RIK	current symbol	MGI:1915766	1110015O18Rik	RIKEN cDNA 1110015O18 gene	lncRNA gene
1110017D15RIK	current symbol	MGI:1920971	1110017D15Rik	RIKEN cDNA 1110017D15 gene	protein coding gene
1110017F19RIK	old symbol	MGI:1915778	Smim6	small integral membrane protein 6	protein coding gene
1110018G07RIK	old symbol	MGI:1915747	Arel1	apoptosis resistant E3 ubiquitin protein ligase 1	protein coding gene
1110018J18RIK	old symbol	MGI:1913379	Prxl2c	peroxiredoxin like 2C	protein coding gene
1110019D14RIK	current symbol	MGI:1923561	1110019D14Rik	RIKEN cDNA 1110019D14 gene	lncRNA gene
1110020A21RIK	current symbol	MGI:1915781	1110020A21Rik	RIKEN cDNA 1110020A21 gene	lncRNA gene
1110020G09RIK	old symbol	MGI:1915896	Nadk2	NAD kinase 2, mitochondrial	protein coding gene
1110021J02RIK	old symbol	MGI:1915847	Ccdc167	coiled-coil domain containing 167	protein coding gene
1110021L09RIK	old symbol	MGI:1923556	Slc18b1	solute carrier family 18, subfamily B, member 1	protein coding gene
1110028C15RIK	old symbol	MGI:1915941	Kansl1l	KAT8 regulatory NSL complex subunit 1-like	protein coding gene
1110028F11RIK	current symbol	MGI:1915940	1110028F11Rik	RIKEN cDNA 1110028F11 gene	lncRNA gene
1110028F18RIK	current symbol	MGI:1915942	1110028F18Rik	RIKEN cDNA 1110028F18 gene	lncRNA gene
1110031I02RIK	old symbol	MGI:1913429	Ogfod3	2-oxoglutarate and iron-dependent oxygenase domain containing 3	protein coding gene
1110032A03RIK	current symbol	MGI:1915971	1110032A03Rik	RIKEN cDNA 1110032A03 gene	protein coding gene
1110032A04RIK	old symbol	MGI:1913433	Sptssb	serine palmitoyltransferase, small subunit B	protein coding gene
1110032F04RIK	current symbol	MGI:1915975	1110032F04Rik	RIKEN cDNA 1110032F04 gene	protein coding gene
1110034A24RIK	old symbol	MGI:1923566	Dnaaf2	dynein, axonemal assembly factor 2	protein coding gene
1110034B05RIK	old symbol	MGI:1915986	Tyw5	tRNA-yW synthesizing protein 5	protein coding gene
1110034G24RIK	old symbol	MGI:1920997	Shld1	shieldin complex subunit 1	protein coding gene
1110035M17RIK	old symbol	MGI:3044900	Zfp652os	zinc finger protein 652, opposite strand	antisense lncRNA gene
1110036E04RIK	current symbol	MGI:1915947	1110036E04Rik	RIKEN cDNA 1110036E04 gene	lncRNA gene
1110037F02RIK	old symbol	MGI:1913435	Virma	vir like m6A methyltransferase associated	protein coding gene
1110038B12RIK	current symbol	MGI:1916013	1110038B12Rik	RIKEN cDNA 1110038B12 gene	lncRNA gene
1110038D17RIK	old symbol	MGI:1916028	Gucd1	guanylyl cyclase domain containing 1	protein coding gene
1110038F14RIK	current symbol	MGI:2152337	1110038F14Rik	RIKEN cDNA 1110038F14 gene	protein coding gene
1110046J04RIK	current symbol	MGI:1916058	1110046J04Rik	RIKEN cDNA 1110046J04 gene	lncRNA gene
1110049F12RIK	old symbol	MGI:1913443	Pithd1	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1	protein coding gene
1110050K14RIK	old symbol	MGI:1916040	Fendrr	Foxf1 adjacent non-coding developmental regulatory RNA	lncRNA gene
1110051M20RIK	current symbol	MGI:1915079	1110051M20Rik	RIKEN cDNA 1110051M20 gene	protein coding gene
1110054M08RIK	old symbol	MGI:1916091	Lppos	LIM domain containing preferred translocation partner in lipoma, opposite strand	lncRNA gene
1110054O05RIK	old symbol	MGI:1913459	Inip	INTS3 and NABP interacting protein	protein coding gene
1110057K04RIK	old symbol	MGI:1916082	Ldah	lipid droplet associated hydrolase	protein coding gene
1110058L19RIK	old symbol	MGI:1915252	Sdhaf4	succinate dehydrogenase complex assembly factor 4	protein coding gene
1110059E24RIK	current symbol	MGI:1913456	1110059E24Rik	RIKEN cDNA 1110059E24 gene	protein coding gene
1110059G10RIK	current symbol	MGI:1913452	1110059G10Rik	RIKEN cDNA 1110059G10 gene	protein coding gene
1110059M19RIK	old symbol	MGI:1916050	Prr32	proline rich 32	protein coding gene
1110065P20RIK	current symbol	MGI:1916170	1110065P20Rik	RIKEN cDNA 1110065P20 gene	protein coding gene
1110067D22RIK	old symbol	MGI:1916114	Lgalsl	lectin, galactoside binding-like	protein coding gene
1190002F15RIK	old symbol	MGI:1915081	Lockd	lncRNA downstream of Cdkn1b	lncRNA gene
1190002H23RIK	old symbol	MGI:1913464	Rgcc	regulator of cell cycle	protein coding gene
1190002N15RIK	old symbol	MGI:1916111	Dipk2a	divergent protein kinase domain 2A	protein coding gene
1190003J15RIK	old symbol	MGI:1916142	Urah	urate (5-hydroxyiso-) hydrolase	protein coding gene
1190003K10RIK	old symbol	MGI:1916130	Fam240b	family with sequence similarity 240 member B	protein coding gene
1190005F20RIK	old symbol	MGI:1916185	Trmt1l	tRNA methyltransferase 1 like	protein coding gene
1190005I06RIK	current symbol	MGI:1916168	1190005I06Rik	RIKEN cDNA 1190005I06 gene	protein coding gene
1190007F08RIK	old symbol	MGI:1916109	Smim1	small integral membrane protein 1	protein coding gene
1190007I07RIK	current symbol	MGI:3698433	1190007I07Rik	RIKEN cDNA 1190007I07 gene	protein coding gene
1200009I06RIK	old symbol	MGI:1921363	Exoc3l4	exocyst complex component 3-like 4	protein coding gene
1200011I18RIK	old symbol	MGI:1914717	Gpalpp1	GPALPP motifs containing 1	protein coding gene
1200011M11RIK	old symbol	MGI:1921383	Smg8	smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein coding gene
1200014J11RIK	old symbol	MGI:1914124	Ncbp3	nuclear cap binding subunit 3	protein coding gene
1200016B10RIK	old symbol	MGI:1914125	Swt1	SWT1 RNA endoribonuclease homolog (S. cerevisiae)	protein coding gene
1300001I01RIK	old symbol	MGI:1921398	Cluh	clustered mitochondria (cluA/CLU1) homolog	protein coding gene
1300002E11RIK	current symbol	MGI:1919001	1300002E11Rik	RIKEN cDNA 1300002E11 gene	lncRNA gene
1300002K09RIK	old symbol	MGI:1921402	Stra6l	STRA6-like	protein coding gene
1300010F03RIK	old symbol	MGI:1919008	Vwa8	von Willebrand factor A domain containing 8	protein coding gene
1300014I06RIK	old symbol	MGI:1914145	Pxdc1	PX domain containing 1	protein coding gene
1300015D01RIK	old symbol	MGI:1921411	Ctcflos	CCCTC-binding factor (zinc finger protein)-like, opposite strand	antisense lncRNA gene
1300017J02RIK	current symbol	MGI:1919025	1300017J02Rik	RIKEN cDNA 1300017J02 gene	protein coding gene
1300018I17RIK	old symbol	MGI:1914143	Vps9d1	VPS9 domain containing 1	protein coding gene
1300018J18RIK	old symbol	MGI:1919007	Selenoo	selenoprotein O	protein coding gene
1500001M20RIK	old symbol	MGI:1916221	Tamm41	TAM41 mitochondrial translocator assembly and maintenance homolog	protein coding gene
1500002O10RIK	old symbol	MGI:1916236	Gad1os	glutamate decarboxylase 1, opposite strand	antisense lncRNA gene
1500002O20RIK	old symbol	MGI:1919247	Smg9	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein coding gene
1500003O03RIK	old symbol	MGI:1927185	Chp1	calcineurin-like EF hand protein 1	protein coding gene
1500004A13RIK	current symbol	MGI:2442808	1500004A13Rik	RIKEN cDNA 1500004A13 gene	lncRNA gene
1500009C09RIK	current symbol	MGI:1923755	1500009C09Rik	RIKEN cDNA 1500009C09 gene	protein coding gene
1500009L16RIK	current symbol	MGI:1917034	1500009L16Rik	RIKEN cDNA 1500009L16 gene	protein coding gene
1500010J02RIK	old symbol	MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	protein coding gene
1500011B03RIK	current symbol	MGI:1913486	1500011B03Rik	RIKEN cDNA 1500011B03 gene	protein coding gene
1500011H22RIK	old symbol	MGI:1916198	Fam216a	family with sequence similarity 216, member A	protein coding gene
1500011K16RIK	old symbol	MGI:1915135	Mtln	mitoregulin	protein coding gene
1500012F01RIK	old symbol	MGI:1916199	Zfas1	zinc finger, NFX1-type containing 1, antisense RNA 1	lncRNA gene
1500012K07RIK	current symbol	MGI:1916204	1500012K07Rik	RIKEN cDNA 1500012K07 gene	lncRNA gene
1500015A07RIK	current symbol	MGI:1916232	1500015A07Rik	RIKEN cDNA 1500015A07 gene	lncRNA gene
1500015L24RIK	current symbol	MGI:1916244	1500015L24Rik	RIKEN cDNA 1500015L24 gene	lncRNA gene
1500015O10RIK	old symbol	MGI:1926146	Ecrg4	ECRG4 augurin precursor	protein coding gene
1500016L03RIK	old symbol	MGI:1925615	Lhx1os	LIM homeobox 1, opposite strand	lncRNA gene
1500017E21RIK	old symbol	MGI:1919243	Hectd2os	Hectd2, opposite strand	antisense lncRNA gene
1500031L02RIK	old symbol	MGI:1914244	Cep19	centrosomal protein 19	protein coding gene
1500032L24RIK	old symbol	MGI:1916279	Smdt1	single-pass membrane protein with aspartate rich tail 1	protein coding gene
1520402A15RIK	old symbol	MGI:1915325	Lurap1	leucine rich adaptor protein 1	protein coding gene
1600002D24RIK	current symbol	MGI:1917026	1600002D24Rik	RIKEN cDNA 1600002D24 gene	lncRNA gene
1600002H07RIK	old symbol	MGI:1919266	Tedc2	tubulin epsilon and delta complex 2	protein coding gene
1600002K03RIK	old symbol	MGI:1917020	Fam174c	family with sequence similarity 174, member C	protein coding gene
1600010M07RIK	current symbol	MGI:1917031	1600010M07Rik	RIKEN cDNA 1600010M07 gene	lncRNA gene
1600012F09RIK	old symbol	MGI:1914258	Yae1d1	Yae1 domain containing 1	protein coding gene
1600012H06RIK	current symbol	MGI:1915162	1600012H06Rik	RIKEN cDNA 1600012H06 gene	protein coding gene
1600014C10RIK	current symbol	MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	protein coding gene
1600014C23RIK	current symbol	MGI:1919490	1600014C23Rik	RIKEN cDNA 1600014C23 gene	protein coding gene
1600014K23RIK	old symbol	MGI:1919246	Fthl17a	ferritin, heavy polypeptide-like 17, member A	protein coding gene
1600015I10RIK	old symbol	MGI:1917011	Doxl1	diamine oxidase-like protein 1	protein coding gene
1600016N20RIK	old symbol	MGI:1919250	Lmntd2	lamin tail domain containing 2	protein coding gene
1600019K03RIK	current symbol	MGI:1917018	1600019K03Rik	RIKEN cDNA 1600019K03 gene	lncRNA gene
1600020E01RIK	current symbol	MGI:1919262	1600020E01Rik	RIKEN cDNA 1600020E01 gene	lncRNA gene
1600021P15RIK	old symbol	MGI:1917028	Mb21d2	Mab-21 domain containing 2	protein coding gene
1600025M17RIK	current symbol	MGI:1919280	1600025M17Rik	RIKEN cDNA 1600025M17 gene	lncRNA gene
1600027N09RIK	old symbol	MGI:1920497	Mrgbp	MRG/MORF4L binding protein	protein coding gene
1600029D21RIK	old symbol	MGI:1923759	Plet1	placenta expressed transcript 1	protein coding gene
1600029I14RIK	current symbol	MGI:1917047	1600029I14Rik	RIKEN cDNA 1600029I14 gene	lncRNA gene
1600029O15RIK	current symbol	MGI:3045362	1600029O15Rik	RIKEN cDNA 1600029O15 gene	pseudogene
1700001C02RIK	old symbol	MGI:1922684	Fam166c	family with sequence similarity 166, member C	protein coding gene
1700001C19RIK	current symbol	MGI:1922712	1700001C19Rik	RIKEN cDNA 1700001C19 gene	protein coding gene
1700001D01RIK	current symbol	MGI:1916529	1700001D01Rik	RIKEN cDNA 1700001D01 gene	lncRNA gene
1700001F09RIK	current symbol	MGI:1919076	1700001F09Rik	RIKEN cDNA 1700001F09 gene	protein coding gene
1700001G11RIK	current symbol	MGI:1916553	1700001G11Rik	RIKEN cDNA 1700001G11 gene	lncRNA gene
1700001G17RIK	current symbol	MGI:1914753	1700001G17Rik	RIKEN cDNA 1700001G17 gene	lncRNA gene
1700001J03RIK	current symbol	MGI:1916532	1700001J03Rik	RIKEN cDNA 1700001J03 gene	protein coding gene
1700001J11RIK	current symbol	MGI:1919474	1700001J11Rik	RIKEN cDNA 1700001J11 gene	pseudogene
1700001K19RIK	current symbol	MGI:1913573	1700001K19Rik	RIKEN cDNA 1700001K19 gene	protein coding gene
1700001K23RIK	current symbol	MGI:1916569	1700001K23Rik	RIKEN cDNA 1700001K23 gene	lncRNA gene
1700001L05RIK	current symbol	MGI:1916541	1700001L05Rik	RIKEN cDNA 1700001L05 gene	lncRNA gene
1700001L19RIK	current symbol	MGI:1916565	1700001L19Rik	RIKEN cDNA 1700001L19 gene	protein coding gene
1700001O22RIK	current symbol	MGI:1923631	1700001O22Rik	RIKEN cDNA 1700001O22 gene	protein coding gene
1700001P01RIK	current symbol	MGI:1919465	1700001P01Rik	RIKEN cDNA 1700001P01 gene	protein coding gene
1700003C15RIK	current symbol	MGI:1916595	1700003C15Rik	RIKEN cDNA 1700003C15 gene	lncRNA gene
1700003D09RIK	current symbol	MGI:1916588	1700003D09Rik	RIKEN cDNA 1700003D09 gene	lncRNA gene
1700003E16RIK	current symbol	MGI:1919087	1700003E16Rik	RIKEN cDNA 1700003E16 gene	protein coding gene
1700003F12RIK	current symbol	MGI:1922730	1700003F12Rik	RIKEN cDNA 1700003F12 gene	protein coding gene
1700003F17RIK	old symbol	MGI:1923642	Slfn5os	schlafen 5, opposite strand	antisense lncRNA gene
1700003G13RIK	old symbol	MGI:1919479	Lncbate3	brown adipose tissue enriched long noncoding RNA 3	lncRNA gene
1700003G18RIK	current symbol	MGI:1916600	1700003G18Rik	RIKEN cDNA 1700003G18 gene	lncRNA gene
1700003H04RIK	current symbol	MGI:1923637	1700003H04Rik	RIKEN cDNA 1700003H04 gene	protein coding gene
1700003L19RIK	current symbol	MGI:1922743	1700003L19Rik	RIKEN cDNA 1700003L19 gene	lncRNA gene
1700003M02RIK	old symbol	MGI:1916579	Cfap206	cilia and flagella associated protein 206	protein coding gene
1700003M07RIK	current symbol	MGI:1919475	1700003M07Rik	RIKEN cDNA 1700003M07 gene	lncRNA gene
1700003P14RIK	current symbol	MGI:1916594	1700003P14Rik	RIKEN cDNA 1700003P14 gene	lncRNA gene
1700006A11RIK	current symbol	MGI:1919074	1700006A11Rik	RIKEN cDNA 1700006A11 gene	protein coding gene
1700006E09RIK	old symbol	MGI:1922687	Cfap97d1	CFAP97 domain containing 1	protein coding gene
1700006F04RIK	current symbol	MGI:1922682	1700006F04Rik	RIKEN cDNA 1700006F04 gene	lncRNA gene
1700006H21RIK	current symbol	MGI:1919507	1700006H21Rik	RIKEN cDNA 1700006H21 gene	lncRNA gene
1700007B14RIK	old symbol	MGI:1919081	Iqcm	IQ motif containing M	protein coding gene
1700007F19RIK	current symbol	MGI:1915100	1700007F19Rik	RIKEN cDNA 1700007F19 gene	lncRNA gene
1700007G11RIK	old symbol	MGI:1916571	Cfap299	cilia and flagella associated protein 299	protein coding gene
1700007I08RIK	old symbol	MGI:1917612	Actl10	actin-like 10	protein coding gene
1700007J10RIK	current symbol	MGI:1916570	1700007J10Rik	RIKEN cDNA 1700007J10 gene	lncRNA gene
1700007K09RIK	old symbol	MGI:1916568	Fam24b	family with sequence similarity 24 member B	protein coding gene
1700007K13RIK	current symbol	MGI:1916577	1700007K13Rik	RIKEN cDNA 1700007K13 gene	protein coding gene
1700007L15RIK	current symbol	MGI:1916581	1700007L15Rik	RIKEN cDNA 1700007L15 gene	lncRNA gene
1700007P06RIK	current symbol	MGI:1916558	1700007P06Rik	RIKEN cDNA 1700007P06 gene	lncRNA gene
1700008A04RIK	old symbol	MGI:1916601	Smim23	small integral membrane protein 23	protein coding gene
1700008F21RIK	old symbol	MGI:1922703	Ccdc7b	coiled-coil domain containing 7B	protein coding gene
1700008I05RIK	old symbol	MGI:1919091	Tcp11x2	t-complex 11 family, X-linked 2	protein coding gene
1700008J07RIK	current symbol	MGI:1916610	1700008J07Rik	RIKEN cDNA 1700008J07 gene	lncRNA gene
1700008K24RIK	current symbol	MGI:1916561	1700008K24Rik	RIKEN cDNA 1700008K24 gene	lncRNA gene
1700008O03RIK	current symbol	MGI:1916599	1700008O03Rik	RIKEN cDNA 1700008O03 gene	protein coding gene
1700008P02RIK	current symbol	MGI:1916597	1700008P02Rik	RIKEN cDNA 1700008P02 gene	protein coding gene
1700008P20RIK	old symbol	MGI:1916551	Tescl	tescalcin-like	protein coding gene
1700009C05RIK	current symbol	MGI:1921470	1700009C05Rik	RIKEN cDNA 1700009C05 gene	lncRNA gene
1700009J07RIK	current symbol	MGI:1914938	1700009J07Rik	RIKEN cDNA 1700009J07 gene	lncRNA gene
1700009N14RIK	current symbol	MGI:1922721	1700009N14Rik	RIKEN cDNA 1700009N14 gene	protein coding gene
1700009P17RIK	old symbol	MGI:1922722	Cfap126	cilia and flagella associated protein 126	protein coding gene
1700010B08RIK	current symbol	MGI:1922735	1700010B08Rik	RIKEN cDNA 1700010B08 gene	protein coding gene
1700010D01RIK	current symbol	MGI:1923636	1700010D01Rik	RIKEN cDNA 1700010D01 gene	lncRNA gene
1700010I02RIK	current symbol	MGI:1922726	1700010I02Rik	RIKEN cDNA 1700010I02 gene	lncRNA gene
1700010I14RIK	current symbol	MGI:1914181	1700010I14Rik	RIKEN cDNA 1700010I14 gene	protein coding gene
1700010J16RIK	current symbol	MGI:1916605	1700010J16Rik	RIKEN cDNA 1700010J16 gene	lncRNA gene
1700010K23RIK	current symbol	MGI:1922751	1700010K23Rik	RIKEN cDNA 1700010K23 gene	lncRNA gene
1700010M22RIK	old symbol	MGI:1913578	Scp2d1	SCP2 sterol-binding domain containing 1	protein coding gene
1700011A15RIK	old symbol	MGI:1913572	Krt88	keratin 88	protein coding gene
1700011B04RIK	current symbol	MGI:1922894	1700011B04Rik	RIKEN cDNA 1700011B04 gene	lncRNA gene
1700011E24RIK	old symbol	MGI:1922717	Stpg4	sperm tail PG rich repeat containing 4	protein coding gene
1700011F03RIK	old symbol	MGI:1921471	Tex37	testis expressed 37	protein coding gene
1700011F14RIK	old symbol	MGI:1922895	Ccdc172	coiled-coil domain containing 172	protein coding gene
1700011H14RIK	old symbol	MGI:1914332	ccdc198	coiled-coil domain containing 198	protein coding gene
1700011I03RIK	old symbol	MGI:1922694	Ccdc192	coiled-coil domain containing 192	protein coding gene
1700011J10RIK	old symbol	MGI:1914936	Sp3os	trans-acting transcription factor 3, opposite strand	antisense lncRNA gene
1700011L22RIK	current symbol	MGI:1914937	1700011L22Rik	RIKEN cDNA 1700011L22 gene	protein coding gene
1700011M02RIK	current symbol	MGI:1922693	1700011M02Rik	RIKEN cDNA 1700011M02 gene	protein coding gene
1700012A03RIK	current symbol	MGI:1923632	1700012A03Rik	RIKEN cDNA 1700012A03 gene	protein coding gene
1700012A16RIK	old symbol	MGI:1919086	Shcbp1l	Shc SH2-domain binding protein 1-like	protein coding gene
1700012B07RIK	current symbol	MGI:1916574	1700012B07Rik	RIKEN cDNA 1700012B07 gene	protein coding gene
1700012B09RIK	current symbol	MGI:1916575	1700012B09Rik	RIKEN cDNA 1700012B09 gene	protein coding gene
1700012B15RIK	old symbol	MGI:1921423	Rab10os	RAB10, member RAS oncogene family, opposite strand	antisense lncRNA gene
1700012D01RIK	current symbol	MGI:1919493	1700012D01Rik	RIKEN cDNA 1700012D01 gene	lncRNA gene
1700012D14RIK	current symbol	MGI:1922729	1700012D14Rik	RIKEN cDNA 1700012D14 gene	lncRNA gene
1700012I11RIK	current symbol	MGI:1916584	1700012I11Rik	RIKEN cDNA 1700012I11 gene	lncRNA gene
1700012L04RIK	old symbol	MGI:1923633	H2al1m	H2A histone family member L1M	protein coding gene
1700012P22RIK	current symbol	MGI:1916614	1700012P22Rik	RIKEN cDNA 1700012P22 gene	protein coding gene
1700013D24RIK	current symbol	MGI:1924171	1700013D24Rik	RIKEN cDNA 1700013D24 gene	protein coding gene
1700013F07RIK	current symbol	MGI:1922754	1700013F07Rik	RIKEN cDNA 1700013F07 gene	protein coding gene
1700013G23RIK	old symbol	MGI:1916628	Med9os	mediator complex subunit 9, opposite strand	antisense lncRNA gene
1700013G24RIK	current symbol	MGI:1916630	1700013G24Rik	RIKEN cDNA 1700013G24 gene	protein coding gene
1700013H16RIK	current symbol	MGI:1922764	1700013H16Rik	RIKEN cDNA 1700013H16 gene	protein coding gene
1700013N18RIK	old symbol	MGI:1920568	Ube2d2b	ubiquitin-conjugating enzyme E2D 2B	protein coding gene
1700014N06RIK	old symbol	MGI:1916639	H2bfm	H2B histone family, member M	protein coding gene
1700015E13RIK	old symbol	MGI:1924175	Spata46	spermatogenesis associated 46	protein coding gene
1700015F17RIK	old symbol	MGI:2686532	Pttg1ip2	PTTG1IP family member 2	protein coding gene
1700015G11RIK	current symbol	MGI:1922779	1700015G11Rik	RIKEN cDNA 1700015G11 gene	protein coding gene
1700016C15RIK	current symbol	MGI:1916678	1700016C15Rik	RIKEN cDNA 1700016C15 gene	protein coding gene
1700016D06RIK	current symbol	MGI:1923663	1700016D06Rik	RIKEN cDNA 1700016D06 gene	protein coding gene
1700016G22RIK	current symbol	MGI:1919117	1700016G22Rik	RIKEN cDNA 1700016G22 gene	lncRNA gene
1700016H13RIK	current symbol	MGI:1921468	1700016H13Rik	RIKEN cDNA 1700016H13 gene	protein coding gene
1700016K19RIK	current symbol	MGI:1921480	1700016K19Rik	RIKEN cDNA 1700016K19 gene	protein coding gene
1700016L04RIK	current symbol	MGI:1916662	1700016L04Rik	RIKEN cDNA 1700016L04 gene	lncRNA gene
1700016L21RIK	current symbol	MGI:1919458	1700016L21Rik	RIKEN cDNA 1700016L21 gene	lncRNA gene
1700016M24RIK	old symbol	MGI:1916689	Mroh4	maestro heat-like repeat family member 4	protein coding gene
1700016P04RIK	current symbol	MGI:1916663	1700016P04Rik	RIKEN cDNA 1700016P04 gene	lncRNA gene
1700017B05RIK	current symbol	MGI:1921461	1700017B05Rik	RIKEN cDNA 1700017B05 gene	protein coding gene
